@SampleID:10
@Version:0.9.2
@Ranks:acellular root,cellular root,other entries|realm,domain|kingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU	HOST
200940	phylum	131567|2|3379134|200940	cellular organisms|Bacteria|Pseudomonadati|Thermodesulfobacteriota	0.4039			
2732407	phylum	10239|2559587|2732396|2732407	Viruses|Riboviria|Orthornavirae|Lenarviricota	0.3525			
3412625	phylum	10239|2731342|2732092|3412625	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota	0.0759			
29547	phylum	131567|2|3379134|29547	cellular organisms|Bacteria|Pseudomonadati|Campylobacterota	0.0159			
508458	phylum	131567|2|3384194|508458	cellular organisms|Bacteria|Thermotogati|Synergistota	0.0060			
5204	phylum	131567|2759|4751|5204	cellular organisms|Eukaryota|Fungi|Basidiomycota	0.0026			
32066	phylum	131567|2|3384189|32066	cellular organisms|Bacteria|Fusobacteriati|Fusobacteriota	0.0023			
7711	phylum	131567|2759|33208|7711	cellular organisms|Eukaryota|Metazoa|Chordata	0.0010			
2732008	phylum	10239|2732004|2732005|2732008	Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota	0.0000			
203691	phylum	131567|2|3379134|203691	cellular organisms|Bacteria|Pseudomonadati|Spirochaetota	0.0000			
204428	phylum	131567|2|3379134|204428	cellular organisms|Bacteria|Pseudomonadati|Chlamydiota	0.0000			
2731619	class	10239|2731341|2731360|2731618|2731619	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes	36.9427			
186801	class	131567|2|1783272|1239|186801	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia	28.4020			
200643	class	131567|2|3379134|976|200643	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia	14.1384			
2732507	class	10239|2559587|2732396|2732408|2732507	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes	2.7351			
203494	class	131567|2|3379134|74201|203494	cellular organisms|Bacteria|Pseudomonadati|Verrucomicrobiota|Verrucomicrobiia	2.0039			
2732413	class	10239|2731342|2732091|2732412|2732413	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes	1.9589			
2732506	class	10239|2559587|2732396|2732408|2732506	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes	1.8584			
2732421	class	10239|2731342|2732092|2732415|2732421	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Papovaviricetes	1.4420			
2732423	class	10239|2731342|2732092|2732416|2732423	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes	1.4221			
526524	class	131567|2|1783272|1239|526524	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia	1.2464			
147545	class	131567|2759|4751|4890|147545	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes	0.9929			
91061	class	131567|2|1783272|1239|91061	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli	0.9777			
909932	class	131567|2|1783272|1239|909932	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes	0.8758			
2732411	class	10239|2731342|2732090|2732410|2732411	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes	0.5453			
1236	class	131567|2|3379134|1224|1236	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria	0.5190			
3031449	class	131567|2|3379134|200940|3031449	cellular organisms|Bacteria|Pseudomonadati|Thermodesulfobacteriota|Desulfovibrionia	0.4039			
2842243	class	10239|2559587|2732396|2732407|2842243	Viruses|Riboviria|Orthornavirae|Lenarviricota|Leviviricetes	0.3525			
84998	class	131567|2|1783272|201174|84998	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia	0.3134			
2732422	class	10239|2731342|2732092|2732415|2732422	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes	0.2828			
28216	class	131567|2|3379134|1224|28216	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Betaproteobacteria	0.2229			
1760	class	131567|2|1783272|201174|1760	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes	0.1010			
3412723	class	10239|2731342|2732092|3412625|3412723	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes	0.0759			
3031852	class	131567|2|3379134|29547|3031852	cellular organisms|Bacteria|Pseudomonadati|Campylobacterota|Epsilonproteobacteria	0.0159			
3239874	class	131567|2759|4751|4890|3239874	cellular organisms|Eukaryota|Fungi|Ascomycota|Pichiomycetes	0.0083			
649775	class	131567|2|3384194|508458|649775	cellular organisms|Bacteria|Thermotogati|Synergistota|Synergistia	0.0060			
162481	class	131567|2759|4751|5204|162481	cellular organisms|Eukaryota|Fungi|Basidiomycota|Microbotryomycetes	0.0026			
1737404	class	131567|2|1783272|1239|1737404	cellular organisms|Bacteria|Bacillati|Bacillota|Tissierellia	0.0025			
203490	class	131567|2|3384189|32066|203490	cellular organisms|Bacteria|Fusobacteriati|Fusobacteriota|Fusobacteriia	0.0023			
40674	class	131567|2759|33208|7711|40674	cellular organisms|Eukaryota|Metazoa|Chordata|Mammalia	0.0010			
117743	class	131567|2|3379134|976|117743	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Flavobacteriia	0.0003			
2732529	class	10239|2732004|2732005|2732008|2732529	Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Tectiliviricetes	0.0000			
203692	class	131567|2|3379134|203691|203692	cellular organisms|Bacteria|Pseudomonadati|Spirochaetota|Spirochaetia	0.0000			
204429	class	131567|2|3379134|204428|204429	cellular organisms|Bacteria|Pseudomonadati|Chlamydiota|Chlamydiia	0.0000			
4891	class	131567|2759|4751|4890|4891	cellular organisms|Eukaryota|Fungi|Ascomycota|Saccharomycetes	0.0000			
155616	class	131567|2759|4751|5204|155616	cellular organisms|Eukaryota|Fungi|Basidiomycota|Tremellomycetes	0.0000			
3085636	order	131567|2|1783272|1239|186801|3085636	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales	14.9369			
171549	order	131567|2|3379134|976|200643|171549	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales	14.1384			
186802	order	131567|2|1783272|1239|186801|186802	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales	12.8448			
3420545	order	10239|2731341|2731360|2731618|2731619|3420545	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales	3.7897			
2732551	order	10239|2559587|2732396|2732408|2732507|2732551	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales	2.7351			
48461	order	131567|2|3379134|74201|203494|48461	cellular organisms|Bacteria|Pseudomonadati|Verrucomicrobiota|Verrucomicrobiia|Verrucomicrobiales	2.0039			
2732414	order	10239|2731342|2732091|2732412|2732413|2732414	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales	1.9589			
464095	order	10239|2559587|2732396|2732408|2732506|464095	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales	1.8584			
3420540	order	10239|2731341|2731360|2731618|2731619|3420540	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales	1.5840			
2732532	order	10239|2731342|2732092|2732415|2732421|2732532	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Papovaviricetes|Sepolyvirales	1.4420			
526525	order	131567|2|1783272|1239|526524|526525	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales	1.2464			
5042	order	131567|2759|4751|4890|147545|5042	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales	0.9917			
186826	order	131567|2|1783272|1239|91061|186826	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales	0.9683			
2732537	order	10239|2731342|2732092|2732416|2732423|2732537	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cremevirales	0.8517			
1843488	order	131567|2|1783272|1239|909932|1843488	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Acidaminococcales	0.8203			
1978007	order	10239|2731341|2731360|2731618|2731619|1978007	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales	0.7329			
3082768	order	131567|2|1783272|1239|186801|3082768	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Christensenellales	0.5841			
2732536	order	10239|2731342|2732092|2732416|2732423|2732536	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales	0.5703			
2732094	order	10239|2731342|2732090|2732410|2732411|2732094	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes|Tubulavirales	0.5453			
91347	order	131567|2|3379134|1224|1236|91347	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales	0.5190			
213115	order	131567|2|3379134|200940|3031449|213115	cellular organisms|Bacteria|Pseudomonadati|Thermodesulfobacteriota|Desulfovibrionia|Desulfovibrionales	0.4039			
2842247	order	10239|2559587|2732396|2732407|2842243|2842247	Viruses|Riboviria|Orthornavirae|Lenarviricota|Leviviricetes|Norzivirales	0.3525			
2732534	order	10239|2731342|2732092|2732415|2732422|2732534	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales	0.2828			
84999	order	131567|2|1783272|201174|84998|84999	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Coriobacteriales	0.2455			
80840	order	131567|2|3379134|1224|28216|80840	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Betaproteobacteria|Burkholderiales	0.2226			
85004	order	131567|2|1783272|201174|1760|85004	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales	0.0863			
3420546	order	10239|2731342|2732092|3412625|3412723|3420546	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales	0.0759			
1643822	order	131567|2|1783272|201174|84998|1643822	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Eggerthellales	0.0679			
1843489	order	131567|2|1783272|1239|909932|1843489	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Veillonellales	0.0554			
3082720	order	131567|2|1783272|1239|186801|3082720	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Peptostreptococcales	0.0362			
213849	order	131567|2|3379134|29547|3031852|213849	cellular organisms|Bacteria|Pseudomonadati|Campylobacterota|Epsilonproteobacteria|Campylobacterales	0.0159			
2037	order	131567|2|1783272|201174|1760|2037	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Actinomycetales	0.0128			
1385	order	131567|2|1783272|1239|91061|1385	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Bacillales	0.0094			
2916678	order	131567|2759|4751|4890|3239874|2916678	cellular organisms|Eukaryota|Fungi|Ascomycota|Pichiomycetes|Serinales	0.0083			
649776	order	131567|2|3384194|508458|649775|649776	cellular organisms|Bacteria|Thermotogati|Synergistota|Synergistia|Synergistales	0.0060			
231213	order	131567|2759|4751|5204|162481|231213	cellular organisms|Eukaryota|Fungi|Basidiomycota|Microbotryomycetes|Sporidiobolales	0.0026			
203491	order	131567|2|3384189|32066|203490|203491	cellular organisms|Bacteria|Fusobacteriati|Fusobacteriota|Fusobacteriia|Fusobacteriales	0.0023			
85007	order	131567|2|1783272|201174|1760|85007	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Mycobacteriales	0.0020			
1737405	order	131567|2|1783272|1239|1737404|1737405	cellular organisms|Bacteria|Bacillati|Bacillota|Tissierellia|Tissierellales	0.0017			
34395	order	131567|2759|4751|4890|147545|34395	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales	0.0012			
9443	order	131567|2759|33208|7711|40674|9443	cellular organisms|Eukaryota|Metazoa|Chordata|Mammalia|Primates	0.0010			
206351	order	131567|2|3379134|1224|28216|206351	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Betaproteobacteria|Neisseriales	0.0003			
200644	order	131567|2|3379134|976|117743|200644	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Flavobacteriia|Flavobacteriales	0.0003			
2732558	order	10239|2732004|2732005|2732008|2732529|2732558	Viruses|Varidnaviria|Bamfordvirae|Preplasmiviricota|Tectiliviricetes|Kalamavirales	0.0000			
909929	order	131567|2|1783272|1239|909932|909929	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Selenomonadales	0.0000			
135623	order	131567|2|3379134|1224|1236|135623	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Vibrionales	0.0000			
72274	order	131567|2|3379134|1224|1236|72274	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Pseudomonadales	0.0000			
135624	order	131567|2|3379134|1224|1236|135624	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Aeromonadales	0.0000			
85006	order	131567|2|1783272|201174|1760|85006	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Micrococcales	0.0000			
136	order	131567|2|3379134|203691|203692|136	cellular organisms|Bacteria|Pseudomonadati|Spirochaetota|Spirochaetia|Spirochaetales	0.0000			
85009	order	131567|2|1783272|201174|1760|85009	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Propionibacteriales	0.0000			
51291	order	131567|2|3379134|204428|204429|51291	cellular organisms|Bacteria|Pseudomonadati|Chlamydiota|Chlamydiia|Chlamydiales	0.0000			
4892	order	131567|2759|4751|4890|4891|4892	cellular organisms|Eukaryota|Fungi|Ascomycota|Saccharomycetes|Saccharomycetales	0.0000			
3243775	order	131567|2759|4751|4890|3239874|3243775	cellular organisms|Eukaryota|Fungi|Ascomycota|Pichiomycetes|Pichiales	0.0000			
1851469	order	131567|2759|4751|5204|155616|1851469	cellular organisms|Eukaryota|Fungi|Basidiomycota|Tremellomycetes|Trichosporonales	0.0000			
90886	order	131567|2759|4751|5204|155616|90886	cellular organisms|Eukaryota|Fungi|Basidiomycota|Tremellomycetes|Filobasidiales	0.0000			
186803	family	131567|2|1783272|1239|186801|3085636|186803	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae	14.9369			
815	family	131567|2|3379134|976|200643|171549|815	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae	12.3985			
216572	family	131567|2|1783272|1239|186801|186802|216572	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae	11.5281			
2946170	family	10239|2731341|2731360|2731618|2731619|3420545|2946170	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae	3.7897			
2731691	family	10239|2731341|2731360|2731618|2731619||2731691	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Drexlerviridae	3.6313			
39733	family	10239|2559587|2732396|2732408|2732507|2732551|39733	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae	2.7351			
3424663	family	10239|2731341|2731360|2731618|2731619||3424663	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Mktvariviridae	2.4800			
2946167	family	10239|2731341|2731360|2731618|2731619||2946167	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Peduoviridae	2.0915			
1647988	family	131567|2|3379134|74201|203494|48461|1647988	cellular organisms|Bacteria|Pseudomonadati|Verrucomicrobiota|Verrucomicrobiia|Verrucomicrobiales|Akkermansiaceae	2.0039			
10841	family	10239|2731342|2732091|2732412|2732413|2732414|10841	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae	1.9589			
12058	family	10239|2559587|2732396|2732408|2732506|464095|12058	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae	1.8269			
3152113	family	10239|2731341|2731360|2731618|2731619||3152113	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Chimalliviridae	1.6101			
151341	family	10239|2731342|2732092|2732415|2732421|2732532|151341	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Papovaviricetes|Sepolyvirales|Polyomaviridae	1.4420			
2842329	family	10239|2731341|2731360|2731618|2731619||2842329	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Schitoviridae	1.4207			
128827	family	131567|2|1783272|1239|526524|526525|128827	cellular organisms|Bacteria|Bacillati|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	1.2328			
31979	family	131567|2|1783272|1239|186801|186802|31979	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Clostridiaceae	1.0268			
171550	family	131567|2|3379134|976|200643|171549|171550	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	1.0118			
1131492	family	131567|2759|4751|4890|147545|5042|1131492	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Aspergillaceae	0.9650			
2169574	family	10239|2731342|2732092|2732416|2732423|2732537|2169574	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cremevirales|Smacoviridae	0.8517			
3424636	family	10239|2731341|2731360|2731618|2731619|3420540|3424636	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autosignataviridae	0.8511			
1300	family	131567|2|1783272|1239|91061|186826|1300	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Streptococcaceae	0.8314			
909930	family	131567|2|1783272|1239|909932|1843488|909930	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Acidaminococcales|Acidaminococcaceae	0.8203			
3424637	family	10239|2731341|2731360|2731618|2731619|3420540|3424637	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autotranscriptaviridae	0.7329			
3424659	family	10239|2731341|2731360|2731618|2731619||3424659	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Lindbergviridae	0.6586			
2942966	family	10239|2731341|2731360|2731618|2731619|1978007|2942966	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Suoliviridae	0.5847			
990719	family	131567|2|1783272|1239|186801|3082768|990719	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Christensenellales|Christensenellaceae	0.5841			
39724	family	10239|2731342|2732092|2732416|2732423|2732536|39724	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae	0.5703			
10860	family	10239|2731342|2732090|2732410|2732411|2732094|10860	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae	0.5453			
543	family	131567|2|3379134|1224|1236|91347|543	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.5190			
3044455	family	10239|2731341|2731360|2731618|2731619||3044455	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Aliceevansviridae	0.4188			
194924	family	131567|2|3379134|200940|3031449|213115|194924	cellular organisms|Bacteria|Pseudomonadati|Thermodesulfobacteriota|Desulfovibrionia|Desulfovibrionales|Desulfovibrionaceae	0.4039			
3424670	family	10239|2731341|2731360|2731618|2731619||3424670	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Sarkviridae	0.3683			
2842319	family	10239|2559587|2732396|2732407|2842243|2842247|2842319	Viruses|Riboviria|Orthornavirae|Lenarviricota|Leviviricetes|Norzivirales|Fiersviridae	0.3525			
1853231	family	131567|2|3379134|976|200643|171549|1853231	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae	0.3443			
10780	family	10239|2731342|2732092|2732415|2732422|2732534|10780	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales|Parvoviridae	0.2828			
3085642	family	131567|2|1783272|1239|186801|186802|3085642	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Eubacteriales|Butyricicoccaceae	0.2797			
2005525	family	131567|2|3379134|976|200643|171549|2005525	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae	0.2795			
995019	family	131567|2|3379134|1224|28216|80840|995019	cellular organisms|Bacteria|Pseudomonadati|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sutterellaceae	0.2201			
84107	family	131567|2|1783272|201174|84998|84999|84107	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae	0.1256			
1643824	family	131567|2|1783272|201174|84998|84999|1643824	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.1199			
2731689	family	10239|2731341|2731360|2731618|2731619||2731689	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Chaseviridae	0.1142			
81852	family	131567|2|1783272|1239|91061|186826|81852	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Enterococcaceae	0.1029			
2005519	family	131567|2|3379134|976|200643|171549|2005519	cellular organisms|Bacteria|Pseudomonadati|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae	0.0956			
31953	family	131567|2|1783272|201174|1760|85004|31953	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Bifidobacteriales|Bifidobacteriaceae	0.0863			
687329	family	10239|2731342|2732092|3412625|3412723|3420546|687329	Viruses|Monodnaviria|Shotokuvirae|Commensaviricota|Cardeaviricetes|Sanitavirales|Anelloviridae	0.0759			
2942964	family	10239|2731341|2731360|2731618|2731619|1978007|2942964	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Intestiviridae	0.0687			
1643826	family	131567|2|1783272|201174|84998|1643822|1643826	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.0679			
2731690	family	10239|2731341|2731360|2731618|2731619||2731690	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Demerecviridae	0.0638			
31977	family	131567|2|1783272|1239|909932|1843489|31977	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Veillonellales|Veillonellaceae	0.0554			
2942963	family	10239|2731341|2731360|2731618|2731619|1978007|2942963	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Crevaviridae	0.0510			
3044459	family	10239|2731341|2731360|2731618|2731619||3044459	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Arenbergviridae	0.0415			
186804	family	131567|2|1783272|1239|186801|3082720|186804	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Peptostreptococcales|Peptostreptococcaceae	0.0362			
33958	family	131567|2|1783272|1239|91061|186826|33958	cellular organisms|Bacteria|Bacillati|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae	0.0337			
2942965	family	10239|2731341|2731360|2731618|2731619|1978007|2942965	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Crassvirales|Steigviridae	0.0285			
28568	family	131567|2759|4751|4890|147545|5042|28568	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Eurotiales|Trichocomaceae	0.0267			
3424631	family	10239|2731341|2731360|2731618|2731619||3424631	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Andersonviridae	0.0185			
72293	family	131567|2|3379134|29547|3031852|213849|72293	cellular organisms|Bacteria|Pseudomonadati|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0.0153			
2049	family	131567|2|1783272|201174|1760|2037|2049	cellular organisms|Bacteria|Bacillati|Actinomycetota|Actinomycetes|Actinomycetales|Actinomycetaceae	0.0128			
