taxid	rank	pct	classification	pct_gs	sample	tool
1392389	genus	0.0023	TP	0.0023	0	Gold standard
140410	genus	1.5311	TP	1.5311	0	Gold standard
1407607	genus	0.0928	TP	0.0928	0	Gold standard
1432051	genus	0.0345	TP	0.0345	0	Gold standard
1437363.1	strain	0.0722	TP	0.0722	0	Gold standard
1439894.1	strain	0.6838	TP	0.6838	0	Gold standard
1468449	species	0.0012	TP	0.0012	0	Gold standard
1468449.1	strain	0.0012	TP	0.0012	0	Gold standard
147545	class	0.7956	TP	0.7956	0	Gold standard
1476889.1	strain	0.0446	TP	0.0446	0	Gold standard
1485	genus	2.0072	TP	2.0072	0	Gold standard
1495285.1	strain	0.0057	TP	0.0057	0	Gold standard
149539.12	strain	0.0031	TP	0.0031	0	Gold standard
1496	species	1.0752	TP	1.0752	0	Gold standard
1496.16	strain	0.0014	TP	0.0014	0	Gold standard
1496.29	strain	0.0002	TP	0.0002	0	Gold standard
1496.30	strain	0.0005	TP	0.0005	0	Gold standard
1496.34	strain	0.0037	TP	0.0037	0	Gold standard
1496.7	strain	1.0693	TP	1.0693	0	Gold standard
1501226	genus	0.2788	TP	0.2788	0	Gold standard
1502	species	0.0061	TP	0.0061	0	Gold standard
1502.9	strain	0.0061	TP	0.0061	0	Gold standard
1505657	genus	0.0068	TP	0.0068	0	Gold standard
1506553	genus	0.6726	TP	0.6726	0	Gold standard
1506574	genus	0.2295	TP	0.2295	0	Gold standard
1507401	genus	0.3054	TP	0.3054	0	Gold standard
1511804	genus	0.0431	TP	0.0431	0	Gold standard
151341	family	0.2874	TP	0.2874	0	Gold standard
1518574	species	0.1115	TP	0.1115	0	Gold standard
1518574.1	strain	0.1115	TP	0.1115	0	Gold standard
1527506.1	strain	0.0318	TP	0.0318	0	Gold standard
1527524.1	strain	0.0092	TP	0.0092	0	Gold standard
1540094.1	strain	1.8047	TP	1.8047	0	Gold standard
1540095.1	strain	0.0134	TP	0.0134	0	Gold standard
1540098.1	strain	0.0876	TP	0.0876	0	Gold standard
154288	species	0.0195	TP	0.0195	0	Gold standard
154288.2	strain	0.0195	TP	0.0195	0	Gold standard
1544364	species	0.0654	TP	0.0654	0	Gold standard
1544364.1	strain	0.0654	TP	0.0654	0	Gold standard
1547	species	0.0562	TP	0.0562	0	Gold standard
1547.1	strain	0.0562	TP	0.0562	0	Gold standard
155148.1	strain	0.0249	TP	0.0249	0	Gold standard
155616	class	0.0013	TP	0.0013	0	Gold standard
1561	species	0.0131	TP	0.0131	0	Gold standard
1561.1	strain	0.0131	TP	0.0131	0	Gold standard
1567007.1	strain	0.5624	TP	0.5624	0	Gold standard
1567028.1	strain	0.019	TP	0.019	0	Gold standard
1567486.1	strain	0.0137	TP	0.0137	0	Gold standard
1572753.1	strain	0.4433	TP	0.4433	0	Gold standard
1573535	genus	0.0002	TP	0.0002	0	Gold standard
1578	genus	2.3349	TP	2.3349	0	Gold standard
1582152	species	0.2503	TP	0.2503	0	Gold standard
1582152.1	strain	0.2503	TP	0.2503	0	Gold standard
1582153.1	strain	0.3572	TP	0.3572	0	Gold standard
1582155.1	strain	0.0185	TP	0.0185	0	Gold standard
1583	species	0.2964	TP	0.2964	0	Gold standard
1583.1	strain	0.2964	TP	0.2964	0	Gold standard
1584	species	0.0017	TP	0.0017	0	Gold standard
1584.2	strain	0.0017	TP	0.0017	0	Gold standard
158836	species	0.0002	TP	0.0002	0	Gold standard
158836.4	strain	0.0002	TP	0.0002	0	Gold standard
158846	genus	0.0009	TP	0.0009	0	Gold standard
1595998	species	0.0078	TP	0.0078	0	Gold standard
1595998.1	strain	0.0078	TP	0.0078	0	Gold standard
1596	species	0.0028	TP	0.0028	0	Gold standard
1596.4	strain	0.0028	TP	0.0028	0	Gold standard
1604355.1	strain	0.9877	TP	0.9877	0	Gold standard
1604356.1	strain	0.0307	TP	0.0307	0	Gold standard
1623289	genus	4.6197	TP	4.6197	0	Gold standard
1623305	genus	8.4992	TP	8.4992	0	Gold standard
1636564.1	strain	2.932	TP	2.932	0	Gold standard
1636586.1	strain	0.041	TP	0.041	0	Gold standard
1642588.1	strain	0.063	TP	0.063	0	Gold standard
1643822	order	0.016	TP	0.016	0	Gold standard
1643824	family	0.0002	TP	0.0002	0	Gold standard
1643826	family	0.016	TP	0.016	0	Gold standard
1654	genus	0.0054	TP	0.0054	0	Gold standard
1675602.1	strain	0.0232	TP	0.0232	0	Gold standard
1678	genus	0.1795	TP	0.1795	0	Gold standard
1680	species	0.0007	TP	0.0007	0	Gold standard
1680.2	strain	0.0007	TP	0.0007	0	Gold standard
1681	species	0.0586	TP	0.0586	0	Gold standard
1681.10	strain	0.0002	TP	0.0002	0	Gold standard
1681.13	strain	0.0169	TP	0.0169	0	Gold standard
1681.21	strain	0.041	TP	0.041	0	Gold standard
1681.4	strain	0.0005	TP	0.0005	0	Gold standard
1683	species	0.0002	TP	0.0002	0	Gold standard
1683.3	strain	0.0002	TP	0.0002	0	Gold standard
1685	species	0.1099	TP	0.1099	0	Gold standard
1685.1	strain	0.1078	TP	0.1078	0	Gold standard
1685.2	strain	0.0021	TP	0.0021	0	Gold standard
169435	species	0.004	TP	0.004	0	Gold standard
169435.2	strain	0.004	TP	0.004	0	Gold standard
1701846.1	strain	0.0867	TP	0.0867	0	Gold standard
171549	order	17.7348	TP	17.7348	0	Gold standard
171550	family	0.0007	TP	0.0007	0	Gold standard
171552	family	14.4335	TP	14.4335	0	Gold standard
1730	genus	0.0619	TP	0.0619	0	Gold standard
1735	species	0.0002	TP	0.0002	0	Gold standard
1735.1	strain	0.0002	TP	0.0002	0	Gold standard
173707	species	1.712	TP	1.712	0	Gold standard
173707.1	strain	1.712	TP	1.712	0	Gold standard
1759442	family	0.0013	TP	0.0013	0	Gold standard
1760	class	0.1854	TP	0.1854	0	Gold standard
1766253	genus	0.0056	TP	0.0056	0	Gold standard
1776384	species	0.0009	TP	0.0009	0	Gold standard
1776384.1	strain	0.0009	TP	0.0009	0	Gold standard
1783272	kingdom	29.9625	TP	29.9625	0	Gold standard
1788294.1	strain	0.1786	TP	0.1786	0	Gold standard
1796635	species	0.0333	TP	0.0333	0	Gold standard
1796635.3	strain	0.0333	TP	0.0333	0	Gold standard
1838142	genus	0.0013	TP	0.0013	0	Gold standard
1843488	order	2.0109	TP	2.0109	0	Gold standard
1843489	order	0.0857	TP	0.0857	0	Gold standard
1843491	family	0.0009	TP	0.0009	0	Gold standard
1851469	order	0.0013	TP	0.0013	0	Gold standard
1852563.1	strain	0.0014	TP	0.0014	0	Gold standard
1853231	family	0.0628	TP	0.0628	0	Gold standard
186532	genus	0.5069	TP	0.5069	0	Gold standard
186777	genus	0.5933	TP	0.5933	0	Gold standard
186794	genus	0.0249	TP	0.0249	0	Gold standard
186801	class	22.8081	TP	22.8081	0	Gold standard
186802	order	13.4238	TP	13.4238	0	Gold standard
186803	family	7.9365	TP	7.9365	0	Gold standard
186804	family	1.3608	TP	1.3608	0	Gold standard
186806	family	0.0619	TP	0.0619	0	Gold standard
186826	order	3.5989	TP	3.5989	0	Gold standard
1868595.1	strain	0.2148	TP	0.2148	0	Gold standard
1870884	genus	1.0752	TP	1.0752	0	Gold standard
187218	genus	0.5624	TP	0.5624	0	Gold standard
187327	species	0.0019	TP	0.0019	0	Gold standard
187327.1	strain	0.0019	TP	0.0019	0	Gold standard
1874589.1	strain	0.0207	TP	0.0207	0	Gold standard
1880822.1	strain	0.0157	TP	0.0157	0	Gold standard
1891715	genus	0.2874	TP	0.2874	0	Gold standard
189330	genus	0.6996	TP	0.6996	0	Gold standard
1897495.1	strain	0.2758	TP	0.2758	0	Gold standard
1910951	genus	0.3524	TP	0.3524	0	Gold standard
1910952	genus	0.0002	TP	0.0002	0	Gold standard
1910992	genus	1.7567	TP	1.7567	0	Gold standard
1911010	species	0.1196	TP	0.1196	0	Gold standard
1912216	genus	0.0005	TP	0.0005	0	Gold standard
1912855	species	3.5623	TP	3.5623	0	Gold standard
1912855.1	strain	3.5623	TP	3.5623	0	Gold standard
191303	genus	0.0195	TP	0.0195	0	Gold standard
1913654	genus	0.019	TP	0.019	0	Gold standard
1913685	species	0.019	TP	0.019	0	Gold standard
1914201	species	0.0057	TP	0.0057	0	Gold standard
1914852	genus	1.4509	TP	1.4509	0	Gold standard
1918536	genus	0.0333	TP	0.0333	0	Gold standard
1920753	genus	0.2103	TP	0.2103	0	Gold standard
1920755	species	0.1678	TP	0.1678	0	Gold standard
1920758	species	0.0307	TP	0.0307	0	Gold standard
1920865	genus	0.5946	TP	0.5946	0	Gold standard
1921544	genus	0.063	TP	0.063	0	Gold standard
1921553	genus	0.0876	TP	0.0876	0	Gold standard
1921555	species	0.0876	TP	0.0876	0	Gold standard
1926556	genus	0.0009	TP	0.0009	0	Gold standard
192955.2	strain	0.0044	TP	0.0044	0	Gold standard
1930509	species	0.3509	TP	0.3509	0	Gold standard
1930509.1	strain	0.3509	TP	0.3509	0	Gold standard
1933110.1	strain	0.2108	TP	0.2108	0	Gold standard
1933774.1	strain	0.3963	TP	0.3963	0	Gold standard
194	genus	0.0007	TP	0.0007	0	Gold standard
1940789	species	0.0042	TP	0.0042	0	Gold standard
1940789.1	strain	0.0042	TP	0.0042	0	Gold standard
1945585	species	0.0085	TP	0.0085	0	Gold standard
1945587	species	0.3438	TP	0.3438	0	Gold standard
194924	family	0.1837	TP	0.1837	0	Gold standard
1965472.1	strain	0.0157	TP	0.0157	0	Gold standard
197	species	0.0007	TP	0.0007	0	Gold standard
197.4	strain	0.0007	TP	0.0007	0	Gold standard
1977411	species	0.1522	TP	0.1522	0	Gold standard
1978007	order	0.298	TP	0.298	0	Gold standard
1981500.1	strain	1.4509	TP	1.4509	0	Gold standard
1985303	genus	1.8914	TP	1.8914	0	Gold standard
1985304	species	1.8047	TP	1.8047	0	Gold standard
1985305	species	0.0867	TP	0.0867	0	Gold standard
1985328	genus	0.0157	TP	0.0157	0	Gold standard
1985329	genus	0.0366	TP	0.0366	0	Gold standard
1985341	species	0.0232	TP	0.0232	0	Gold standard
1985342	species	0.0134	TP	0.0134	0	Gold standard
1985720	genus	0.0216	TP	0.0216	0	Gold standard
1985722	species	0.0216	TP	0.0216	0	Gold standard
1986034	species	0.0002	TP	0.0002	0	Gold standard
1987940	species	0.0144	TP	0.0144	0	Gold standard
2	domain	48.665	TP	48.665	0	Gold standard
2003188	species	0.0002	TP	0.0002	0	Gold standard
2003188.1	strain	0.0002	TP	0.0002	0	Gold standard
2005355	genus	3.5623	TP	3.5623	0	Gold standard
2005525	family	0.1711	TP	0.1711	0	Gold standard
2006174	species	0.4869	TP	0.4869	0	Gold standard
200643	class	17.7348	TP	17.7348	0	Gold standard
200940	phylum	0.1837	TP	0.1837	0	Gold standard
2011078	species	0.0674	TP	0.0674	0	Gold standard
2011087.1	strain	0.5024	TP	0.5024	0	Gold standard
2011088	species	0.5024	TP	0.5024	0	Gold standard
201174	phylum	0.736	TP	0.736	0	Gold standard
2017081	species	0.7391	TP	0.7391	0	Gold standard
2017081.1	strain	0.7391	TP	0.7391	0	Gold standard
2021738	species	0.0082	TP	0.0082	0	Gold standard
2021738.1	strain	0.0082	TP	0.0082	0	Gold standard
2024334.1	strain	0.2481	TP	0.2481	0	Gold standard
2029658.1	strain	0.6563	TP	0.6563	0	Gold standard
2029659.1	strain	0.3871	TP	0.3871	0	Gold standard
2029661.1	strain	0.0022	TP	0.0022	0	Gold standard
2029662.1	strain	1.6117	TP	1.6117	0	Gold standard
2029667.1	strain	0.8429	TP	0.8429	0	Gold standard
2029671.1	strain	0.2479	TP	0.2479	0	Gold standard
2029672.1	strain	0.3696	TP	0.3696	0	Gold standard
2029674.1	strain	0.3552	TP	0.3552	0	Gold standard
2029675.1	strain	0.1586	TP	0.1586	0	Gold standard
203490	class	0.0014	TP	0.0014	0	Gold standard
203491	order	0.0014	TP	0.0014	0	Gold standard
203492	family	0.0014	TP	0.0014	0	Gold standard
2037	order	0.0054	TP	0.0054	0	Gold standard
2041044	species	0.0616	TP	0.0616	0	Gold standard
2041044.1	strain	0.0616	TP	0.0616	0	Gold standard
2049	family	0.0054	TP	0.0054	0	Gold standard
206351	order	0.0002	TP	0.0002	0	Gold standard
207244	genus	0.4707	TP	0.4707	0	Gold standard
2082587	genus	0.0002	TP	0.0002	0	Gold standard
208479	species	0.0187	TP	0.0187	0	Gold standard
208479.1	strain	0.0173	TP	0.0173	0	Gold standard
208479.6	strain	0.0014	TP	0.0014	0	Gold standard
2109687	species	0.3067	TP	0.3067	0	Gold standard
2109687.1	strain	0.3067	TP	0.3067	0	Gold standard
213115	order	0.1837	TP	0.1837	0	Gold standard
213769	species	0.0074	TP	0.0074	0	Gold standard
213774.1	strain	0.1609	TP	0.1609	0	Gold standard
213777.1	strain	0.174	TP	0.174	0	Gold standard
213849	order	0.0007	TP	0.0007	0	Gold standard
2163605.1	strain	0.1887	TP	0.1887	0	Gold standard
216572	family	11.1289	TP	11.1289	0	Gold standard
216816	species	0.0073	TP	0.0073	0	Gold standard
216816.2	strain	0.0073	TP	0.0073	0	Gold standard
216851	genus	8.0457	TP	8.0457	0	Gold standard
2169574	family	0.6192	TP	0.6192	0	Gold standard
2169662	genus	0.0078	TP	0.0078	0	Gold standard
2169663	genus	0.6113	TP	0.6113	0	Gold standard
2169921	species	0.0111	TP	0.0111	0	Gold standard
2219049	genus	0.3509	TP	0.3509	0	Gold standard
225992	species	0.0019	TP	0.0019	0	Gold standard
225992.1	strain	0.0019	TP	0.0019	0	Gold standard
227307	genus	0.0758	TP	0.0758	0	Gold standard
2292004	species	0.2235	TP	0.2235	0	Gold standard
2292004.1	strain	0.2235	TP	0.2235	0	Gold standard
2293000	species	0.0019	TP	0.0019	0	Gold standard
2293000.1	strain	0.0019	TP	0.0019	0	Gold standard
2293016	species	0.5931	TP	0.5931	0	Gold standard
2293016.1	strain	0.5931	TP	0.5931	0	Gold standard
2293045	species	0.0089	TP	0.0089	0	Gold standard
2293045.1	strain	0.0089	TP	0.0089	0	Gold standard
2293107	species	0.0002	TP	0.0002	0	Gold standard
2293107.1	strain	0.0002	TP	0.0002	0	Gold standard
2293124	species	0.0002	TP	0.0002	0	Gold standard
2293124.1	strain	0.0002	TP	0.0002	0	Gold standard
2302955	species	1.5662	TP	1.5662	0	Gold standard
2302955.1	strain	1.5662	TP	1.5662	0	Gold standard
2305483.1	strain	0.2587	TP	0.2587	0	Gold standard
2315629.1	strain	0.5946	TP	0.5946	0	Gold standard
2316020	genus	0.0562	TP	0.0562	0	Gold standard
2321390.1	strain	0.1756	TP	0.1756	0	Gold standard
239759	genus	0.0007	TP	0.0007	0	Gold standard
244127	genus	0.004	TP	0.004	0	Gold standard
244366	species	0.0017	TP	0.0017	0	Gold standard
244366.3	strain	0.0017	TP	0.0017	0	Gold standard
2488596.1	strain	0.0422	TP	0.0422	0	Gold standard
249588	genus	0.2227	TP	0.2227	0	Gold standard
2500819.1	strain	0.2793	TP	0.2793	0	Gold standard
2508180.1	strain	0.0746	TP	0.0746	0	Gold standard
2508185.1	strain	0.0027	TP	0.0027	0	Gold standard
2508187.1	strain	0.3428	TP	0.3428	0	Gold standard
2508193.1	strain	0.012	TP	0.012	0	Gold standard
2508195.1	strain	0.0724	TP	0.0724	0	Gold standard
2559587	realm	2.7868	TP	2.7868	0	Gold standard
2560086	genus	0.6838	TP	0.6838	0	Gold standard
2560145	genus	0.0156	TP	0.0156	0	Gold standard
2560244	genus	1.8752	TP	1.8752	0	Gold standard
2560455	species	1.4509	TP	1.4509	0	Gold standard
2560541	species	0.6838	TP	0.6838	0	Gold standard
2560544	species	0.0157	TP	0.0157	0	Gold standard
2562174.1	strain	0.3895	TP	0.3895	0	Gold standard
2576478.1	strain	1.895	TP	1.895	0	Gold standard
2584638	species	0.0157	TP	0.0157	0	Gold standard
2584638.1	strain	0.0157	TP	0.0157	0	Gold standard
2585737.1	strain	0.1706	TP	0.1706	0	Gold standard
2589652.1	strain	0.2972	TP	0.2972	0	Gold standard
2601632.1	strain	1.2661	TP	1.2661	0	Gold standard
261299	species	0.0068	TP	0.0068	0	Gold standard
261299.5	strain	0.0068	TP	0.0068	0	Gold standard
2652274	species	0.0345	TP	0.0345	0	Gold standard
2652274.1	strain	0.0345	TP	0.0345	0	Gold standard
2662277.1	strain	0.0024	TP	0.0024	0	Gold standard
2681617.1	strain	0.0846	TP	0.0846	0	Gold standard
2681630.1	strain	0.0687	TP	0.0687	0	Gold standard
2711185.1	strain	0.6695	TP	0.6695	0	Gold standard
2714735.1	strain	0.0156	TP	0.0156	0	Gold standard
2719313	genus	0.0187	TP	0.0187	0	Gold standard
2731341	realm	41.7099	TP	41.7099	0	Gold standard
2731342	realm	3.7017	TP	3.7017	0	Gold standard
2731360	kingdom	41.7099	TP	41.7099	0	Gold standard
2731618	phylum	41.7099	TP	41.7099	0	Gold standard
2731619	class	41.7099	TP	41.7099	0	Gold standard
2731689	family	0.0187	TP	0.0187	0	Gold standard
2731690	family	2.4574	TP	2.4574	0	Gold standard
2731691	family	1.4757	TP	1.4757	0	Gold standard
27319	family	0.0092	TP	0.0092	0	Gold standard
2732017	genus	1.895	TP	1.895	0	Gold standard
2732051	genus	0.0014	TP	0.0014	0	Gold standard
2732063	genus	0.3963	TP	0.3963	0	Gold standard
2732068	genus	0.1706	TP	0.1706	0	Gold standard
2732090	kingdom	0.7221	TP	0.7221	0	Gold standard
2732091	kingdom	0.4179	TP	0.4179	0	Gold standard
2732092	kingdom	2.5618	TP	2.5618	0	Gold standard
2732094	order	0.7221	TP	0.7221	0	Gold standard
2732396	kingdom	2.7868	TP	2.7868	0	Gold standard
2732407	phylum	0.5131	TP	0.5131	0	Gold standard
2732408	phylum	2.2737	TP	2.2737	0	Gold standard
2732410	phylum	0.7221	TP	0.7221	0	Gold standard
2732411	class	0.7221	TP	0.7221	0	Gold standard
2732412	phylum	0.4179	TP	0.4179	0	Gold standard
2732413	class	0.4179	TP	0.4179	0	Gold standard
2732414	order	0.4179	TP	0.4179	0	Gold standard
2732415	phylum	0.8223	TP	0.8223	0	Gold standard
2732416	phylum	1.6637	TP	1.6637	0	Gold standard
2732421	class	0.2874	TP	0.2874	0	Gold standard
2732422	class	0.5349	TP	0.5349	0	Gold standard
2732423	class	1.6637	TP	1.6637	0	Gold standard
2732506	class	1.1928	TP	1.1928	0	Gold standard
2732507	class	1.0809	TP	1.0809	0	Gold standard
2732532	order	0.2874	TP	0.2874	0	Gold standard
2732534	order	0.5349	TP	0.5349	0	Gold standard
2732536	order	1.0446	TP	1.0446	0	Gold standard
2732537	order	0.6192	TP	0.6192	0	Gold standard
2732551	order	1.0809	TP	1.0809	0	Gold standard
2732677	genus	0.4433	TP	0.4433	0	Gold standard
2732686	genus	0.3898	TP	0.3898	0	Gold standard
2732779	species	0.4433	TP	0.4433	0	Gold standard
2732873	genus	0.1522	TP	0.1522	0	Gold standard
2732876	genus	0.5024	TP	0.5024	0	Gold standard
2732878	genus	0.0674	TP	0.0674	0	Gold standard
2732928	genus	0.4551	TP	0.4551	0	Gold standard
2732960	genus	0.0187	TP	0.0187	0	Gold standard
2732978	genus	0.0687	TP	0.0687	0	Gold standard
2733085	genus	0.0137	TP	0.0137	0	Gold standard
2733124	genus	0.3483	TP	0.3483	0	Gold standard
2733141	genus	0.012	TP	0.012	0	Gold standard
2733583	species	0.4551	TP	0.4551	0	Gold standard
2733636	species	0.0004	TP	0.0004	0	Gold standard
2733637	species	0.2108	TP	0.2108	0	Gold standard
2733874	species	0.0318	TP	0.0318	0	Gold standard
2733982	species	0.5624	TP	0.5624	0	Gold standard
2734031	species	0.0014	TP	0.0014	0	Gold standard
2734077	species	0.0137	TP	0.0137	0	Gold standard
2734156	species	0.012	TP	0.012	0	Gold standard
2748764	species	0.0249	TP	0.0249	0	Gold standard
2759	domain	0.9932	TP	0.9932	0	Gold standard
2759736	genus	0.0063	TP	0.0063	0	Gold standard
2762819.1	strain	0.0094	TP	0.0094	0	Gold standard
2763658	species	0.0005	TP	0.0005	0	Gold standard
2763658.1	strain	0.0005	TP	0.0005	0	Gold standard
2787121	species	2.7662	TP	2.7662	0	Gold standard
2787121.1	strain	2.7662	TP	2.7662	0	Gold standard
2787854	other entries	2.1352	TP	2.1352	0	Gold standard
2789016.1	strain	0.5131	TP	0.5131	0	Gold standard
28026	species	0.0026	TP	0.0026	0	Gold standard
28026.19	strain	0.0002	TP	0.0002	0	Gold standard
28026.25	strain	0.0009	TP	0.0009	0	Gold standard
28026.28	strain	0.0005	TP	0.0005	0	Gold standard
28026.31	strain	0.0009	TP	0.0009	0	Gold standard
2810280	family	0.6663	TP	0.6663	0	Gold standard
2810281	family	0.0195	TP	0.0195	0	Gold standard
28116	species	1.1025	TP	1.1025	0	Gold standard
28116.19	strain	1.1025	TP	1.1025	0	Gold standard
28118	species	0.0002	TP	0.0002	0	Gold standard
28118.1	strain	0.0002	TP	0.0002	0	Gold standard
2817018	species	2.4137	TP	2.4137	0	Gold standard
2817018.1	strain	2.4137	TP	2.4137	0	Gold standard
2819760	species	0.172	TP	0.172	0	Gold standard
2819760.1	strain	0.172	TP	0.172	0	Gold standard
28216	class	0.1567	TP	0.1567	0	Gold standard
283	genus	0.0019	TP	0.0019	0	Gold standard
283168	genus	0.0002	TP	0.0002	0	Gold standard
2836105.1	strain	2.4262	TP	2.4262	0	Gold standard
2842243	class	0.5131	TP	0.5131	0	Gold standard
2842247	order	0.5131	TP	0.5131	0	Gold standard
2842319	family	0.5131	TP	0.5131	0	Gold standard
2842329	family	0.6754	TP	0.6754	0	Gold standard
2842574	genus	0.0846	TP	0.0846	0	Gold standard
2842728	genus	0.2972	TP	0.2972	0	Gold standard
2842814	genus	0.0111	TP	0.0111	0	Gold standard
2842908	genus	0.0138	TP	0.0138	0	Gold standard
2842979	genus	0.0092	TP	0.0092	0	Gold standard
2842995	genus	0.5131	TP	0.5131	0	Gold standard
2843351	genus	0.0157	TP	0.0157	0	Gold standard
2843367	genus	0.267	TP	0.267	0	Gold standard
2843387	genus	0.557	TP	0.557	0	Gold standard
2843430	genus	0.0446	TP	0.0446	0	Gold standard
2843455	genus	0.4479	TP	0.4479	0	Gold standard
2843956	species	0.0092	TP	0.0092	0	Gold standard
2843966	species	0.2148	TP	0.2148	0	Gold standard
2843974	species	0.3572	TP	0.3572	0	Gold standard
2843976	species	0.0185	TP	0.0185	0	Gold standard
2843978	species	0.0722	TP	0.0722	0	Gold standard
2843982	species	0.0522	TP	0.0522	0	Gold standard
2844138	species	0.0138	TP	0.0138	0	Gold standard
2844173	species	0.557	TP	0.557	0	Gold standard
2844204	species	0.2972	TP	0.2972	0	Gold standard
2844208	species	0.0746	TP	0.0746	0	Gold standard
2844219	species	0.8596	TP	0.8596	0	Gold standard
2844219.1	strain	0.8596	TP	0.8596	0	Gold standard
2844220	species	0.6348	TP	0.6348	0	Gold standard
2844220.1	strain	0.6348	TP	0.6348	0	Gold standard
2844227	species	0.0156	TP	0.0156	0	Gold standard
2844231	species	0.1706	TP	0.1706	0	Gold standard
2844803	species	0.0262	TP	0.0262	0	Gold standard
