taxid	rank	pct	classification	pct_gs	sample	tool
2759736	genus	0.0127	TP	0.0127	0	Gold standard
2763658	species	0.001	TP	0.001	0	Gold standard
2763658.1	strain	0.001	TP	0.001	0	Gold standard
2787121	species	5.5705	TP	5.5705	0	Gold standard
2787121.1	strain	5.5705	TP	5.5705	0	Gold standard
28026	species	0.0052	TP	0.0052	0	Gold standard
28026.19	strain	0.0004	TP	0.0004	0	Gold standard
28026.25	strain	0.0018	TP	0.0018	0	Gold standard
28026.28	strain	0.001	TP	0.001	0	Gold standard
28026.31	strain	0.0018	TP	0.0018	0	Gold standard
2810280	family	1.3418	TP	1.3418	0	Gold standard
2810281	family	0.0393	TP	0.0393	0	Gold standard
28116	species	2.2202	TP	2.2202	0	Gold standard
28116.19	strain	2.2202	TP	2.2202	0	Gold standard
28118	species	0.0004	TP	0.0004	0	Gold standard
28118.1	strain	0.0004	TP	0.0004	0	Gold standard
2817018	species	4.8606	TP	4.8606	0	Gold standard
2817018.1	strain	4.8606	TP	4.8606	0	Gold standard
2819760	species	0.3464	TP	0.3464	0	Gold standard
2819760.1	strain	0.3464	TP	0.3464	0	Gold standard
28216	class	0.3156	TP	0.3156	0	Gold standard
283	genus	0.0038	TP	0.0038	0	Gold standard
283168	genus	0.0004	TP	0.0004	0	Gold standard
28568	family	0.1343	TP	0.1343	0	Gold standard
286	genus	0.001	TP	0.001	0	Gold standard
287	species	0.001	TP	0.001	0	Gold standard
287.3	strain	0.001	TP	0.001	0	Gold standard
28901	species	0.2608	TP	0.2608	0	Gold standard
28901.5	strain	0.0014	TP	0.0014	0	Gold standard
28901.9	strain	0.0038	TP	0.0038	0	Gold standard
2916678	order	0.3933	TP	0.3933	0	Gold standard
2922858	species	0.0004	TP	0.0004	0	Gold standard
2922858.1	strain	0.0004	TP	0.0004	0	Gold standard
292800	species	0.0109	TP	0.0109	0	Gold standard
292800.3	strain	0.0109	TP	0.0109	0	Gold standard
29363	species	2.7871	TP	2.7871	0	Gold standard
29363.1	strain	2.7871	TP	2.7871	0	Gold standard
29391	species	0.0028	TP	0.0028	0	Gold standard
29391.1	strain	0.0028	TP	0.0028	0	Gold standard
2944149	genus	0.001	TP	0.001	0	Gold standard
29465	genus	0.1718	TP	0.1718	0	Gold standard
29466	species	0.1718	TP	0.1718	0	Gold standard
29466.2	strain	0.1718	TP	0.1718	0	Gold standard
29547	phylum	0.0014	TP	0.0014	0	Gold standard
2981637	genus	0.0189	TP	0.0189	0	Gold standard
2981771	species	0.0189	TP	0.0189	0	Gold standard
2981771.1	strain	0.0189	TP	0.0189	0	Gold standard
2986996	species	0.001	TP	0.001	0	Gold standard
2986996.2	strain	0.001	TP	0.001	0	Gold standard
2986997	species	0.5614	TP	0.5614	0	Gold standard
2986997.1	strain	0.5614	TP	0.5614	0	Gold standard
2990469.1	strain	0.001	TP	0.001	0	Gold standard
299767	species	0.0004	TP	0.0004	0	Gold standard
299767.1	strain	0.0004	TP	0.0004	0	Gold standard
301301	species	0.8063	TP	0.8063	0	Gold standard
301301.1	strain	0.8063	TP	0.8063	0	Gold standard
3025755	genus	0.1132	TP	0.1132	0	Gold standard
3031449	class	0.3699	TP	0.3699	0	Gold standard
3031852	class	0.0014	TP	0.0014	0	Gold standard
3082720	order	2.7421	TP	2.7421	0	Gold standard
3082768	order	0.1732	TP	0.1732	0	Gold standard
3085636	order	15.9823	TP	15.9823	0	Gold standard
3085642	family	0.4501	TP	0.4501	0	Gold standard
3086176	species	0.0014	TP	0.0014	0	Gold standard
3086176.1	strain	0.0014	TP	0.0014	0	Gold standard
3143214	species	4.6929	TP	4.6929	0	Gold standard
3143214.1	strain	4.6929	TP	4.6929	0	Gold standard
31953	family	0.3615	TP	0.3615	0	Gold standard
31957	family	0.001	TP	0.001	0	Gold standard
31977	family	0.1726	TP	0.1726	0	Gold standard
31979	family	4.042	TP	4.042	0	Gold standard
32066	phylum	0.0028	TP	0.0028	0	Gold standard
32257	genus	0.0004	TP	0.0004	0	Gold standard
3239874	class	0.3933	TP	0.3933	0	Gold standard
328813	species	0.0014	TP	0.0014	0	Gold standard
328813.1	strain	0.0014	TP	0.0014	0	Gold standard
329854	species	0.0024	TP	0.0024	0	Gold standard
329854.3	strain	0.0024	TP	0.0024	0	Gold standard
33010	species	0.001	TP	0.001	0	Gold standard
33010.1	strain	0.001	TP	0.001	0	Gold standard
33024	genus	4.0457	TP	4.0457	0	Gold standard
33038	species	0.1132	TP	0.1132	0	Gold standard
33038.18	strain	0.1132	TP	0.1132	0	Gold standard
33208	kingdom	0.002	TP	0.002	0	Gold standard
3379134	kingdom	37.6596	TP	37.6596	0	Gold standard
3384189	kingdom	0.0028	TP	0.0028	0	Gold standard
33958	family	5.3115	TP	5.3115	0	Gold standard
34395	order	0.024	TP	0.024	0	Gold standard
36910	genus	0.0185	TP	0.0185	0	Gold standard
36911	species	0.0185	TP	0.0185	0	Gold standard
36911.1	strain	0.0185	TP	0.0185	0	Gold standard
375288	genus	0.3446	TP	0.3446	0	Gold standard
37734	species	0.0004	TP	0.0004	0	Gold standard
37734.8	strain	0.0004	TP	0.0004	0	Gold standard
39491	species	0.0113	TP	0.0113	0	Gold standard
39491.4	strain	0.0113	TP	0.0113	0	Gold standard
40520	species	3.8527	TP	3.8527	0	Gold standard
40520.4	strain	3.8527	TP	3.8527	0	Gold standard
40544	genus	0.3113	TP	0.3113	0	Gold standard
40545	species	0.3113	TP	0.3113	0	Gold standard
40674	class	0.002	TP	0.002	0	Gold standard
43219	family	0.024	TP	0.024	0	Gold standard
437897	species	0.0018	TP	0.0018	0	Gold standard
437897.3	strain	0.0018	TP	0.0018	0	Gold standard
454155	species	29.0657	TP	29.0657	0	Gold standard
459786	genus	0.6176	TP	0.6176	0	Gold standard
46255	genus	0.5969	TP	0.5969	0	Gold standard
46503	species	0.001	TP	0.001	0	Gold standard
46503.2	strain	0.001	TP	0.001	0	Gold standard
4751	kingdom	1.9981	TP	1.9981	0	Gold standard
47715	species	0.0127	TP	0.0127	0	Gold standard
47715.5	strain	0.0127	TP	0.0127	0	Gold standard
481	family	0.0004	TP	0.0004	0	Gold standard
4890	phylum	1.9954	TP	1.9954	0	Gold standard
504	species	0.0004	TP	0.0004	0	Gold standard
504.1	strain	0.0004	TP	0.0004	0	Gold standard
5042	order	1.5782	TP	1.5782	0	Gold standard
5052	genus	1.1736	TP	1.1736	0	Gold standard
5061	species	0.1849	TP	0.1849	0	Gold standard
5061.1	strain	0.1849	TP	0.1849	0	Gold standard
5073	genus	0.2702	TP	0.2702	0	Gold standard
5076	species	0.2586	TP	0.2586	0	Gold standard
5076.3	strain	0.2586	TP	0.2586	0	Gold standard
5094	genus	0.1343	TP	0.1343	0	Gold standard
5204	phylum	0.0026	TP	0.0026	0	Gold standard
526524	class	1.4509	TP	1.4509	0	Gold standard
526525	order	1.4509	TP	1.4509	0	Gold standard
53346	species	0.0004	TP	0.0004	0	Gold standard
53346.8	strain	0.0004	TP	0.0004	0	Gold standard
539738	family	0.0028	TP	0.0028	0	Gold standard
543	family	1.251	TP	1.251	0	Gold standard
543314	family	0.0018	TP	0.0018	0	Gold standard
544	genus	0.2572	TP	0.2572	0	Gold standard
544644	species	0.1259	TP	0.1259	0	Gold standard
544644.1	strain	0.1259	TP	0.1259	0	Gold standard
547	genus	0.001	TP	0.001	0	Gold standard
5475	genus	0.3748	TP	0.3748	0	Gold standard
5480	species	0.3748	TP	0.3748	0	Gold standard
5480.3	strain	0.3748	TP	0.3748	0	Gold standard
5583	genus	0.024	TP	0.024	0	Gold standard
561	genus	0.3822	TP	0.3822	0	Gold standard
562	species	0.3822	TP	0.3822	0	Gold standard
562.22	strain	0.3458	TP	0.3458	0	Gold standard
562.23	strain	0.0004	TP	0.0004	0	Gold standard
562.32	strain	0.0004	TP	0.0004	0	Gold standard
562.4	strain	0.0089	TP	0.0089	0	Gold standard
562.42	strain	0.0213	TP	0.0213	0	Gold standard
562.77	strain	0.0038	TP	0.0038	0	Gold standard
562.85	strain	0.0004	TP	0.0004	0	Gold standard
570	genus	0.0034	TP	0.0034	0	Gold standard
572511	genus	3.8527	TP	3.8527	0	Gold standard
574697	genus	0.1259	TP	0.1259	0	Gold standard
57706	species	0.2572	TP	0.2572	0	Gold standard
57706.1	strain	0.2572	TP	0.2572	0	Gold standard
577309	genus	29.0657	TP	29.0657	0	Gold standard
57743.1	strain	0.0004	TP	0.0004	0	Gold standard
580596	genus	0.4501	TP	0.4501	0	Gold standard
585543	species	0.0004	TP	0.0004	0	Gold standard
585543.2	strain	0.0004	TP	0.0004	0	Gold standard
590	genus	0.6072	TP	0.6072	0	Gold standard
5970	species	0.024	TP	0.024	0	Gold standard
5970.1	strain	0.024	TP	0.024	0	Gold standard
60172	species	0.0119	TP	0.0119	0	Gold standard
60172.2	strain	0.0119	TP	0.0119	0	Gold standard
61170	genus	0.0024	TP	0.0024	0	Gold standard
626935	species	1.0762	TP	1.0762	0	Gold standard
626935.1	strain	1.0762	TP	1.0762	0	Gold standard
626937	species	0.1732	TP	0.1732	0	Gold standard
626937.2	strain	0.1732	TP	0.1732	0	Gold standard
626940	species	4.0457	TP	4.0457	0	Gold standard
626940.1	strain	4.0457	TP	4.0457	0	Gold standard
641	family	0.0056	TP	0.0056	0	Gold standard
642	genus	0.0014	TP	0.0014	0	Gold standard
649756	species	0.9479	TP	0.9479	0	Gold standard
649756.2	strain	0.9479	TP	0.9479	0	Gold standard
662	genus	0.0056	TP	0.0056	0	Gold standard
665942	species	0.3699	TP	0.3699	0	Gold standard
665942.1	strain	0.3699	TP	0.3699	0	Gold standard
666	species	0.0014	TP	0.0014	0	Gold standard
666.4	strain	0.0014	TP	0.0014	0	Gold standard
670	species	0.0042	TP	0.0042	0	Gold standard
670.11	strain	0.001	TP	0.001	0	Gold standard
670.13	strain	0.0004	TP	0.0004	0	Gold standard
670.4	strain	0.001	TP	0.001	0	Gold standard
670.6	strain	0.0018	TP	0.0018	0	Gold standard
72274	order	0.001	TP	0.001	0	Gold standard
72294	family	0.0014	TP	0.0014	0	Gold standard
742823	strain	0.3113	TP	0.3113	0	Gold standard
746128	species	0.9888	TP	0.9888	0	Gold standard
746128.4	strain	0.1053	TP	0.1053	0	Gold standard
746128.9	strain	0.8834	TP	0.8834	0	Gold standard
762982	strain	29.0657	TP	29.0657	0	Gold standard
766764	family	0.3748	TP	0.3748	0	Gold standard
76857	species	0.0028	TP	0.0028	0	Gold standard
76857.2	strain	0.0028	TP	0.0028	0	Gold standard
76860	species	0.0018	TP	0.0018	0	Gold standard
76860.1	strain	0.0018	TP	0.0018	0	Gold standard
7711	phylum	0.002	TP	0.002	0	Gold standard
80840	order	0.3152	TP	0.3152	0	Gold standard
80864	family	0.0038	TP	0.0038	0	Gold standard
815	family	6.1758	TP	6.1758	0	Gold standard
816	genus	6.1168	TP	6.1168	0	Gold standard
817	species	0.2429	TP	0.2429	0	Gold standard
817.9	strain	0.2429	TP	0.2429	0	Gold standard
818	species	3.6191	TP	3.6191	0	Gold standard
818.15	strain	0.9106	TP	0.9106	0	Gold standard
818.2	strain	2.6825	TP	2.6825	0	Gold standard
818.6	strain	0.026	TP	0.026	0	Gold standard
81852	family	0.59	TP	0.59	0	Gold standard
820	species	0.0316	TP	0.0316	0	Gold standard
820.11	strain	0.0004	TP	0.0004	0	Gold standard
820.2	strain	0.0312	TP	0.0312	0	Gold standard
821	species	0.059	TP	0.059	0	Gold standard
821.4	strain	0.059	TP	0.059	0	Gold standard
823	species	0.3429	TP	0.3429	0	Gold standard
823.6	strain	0.3415	TP	0.3415	0	Gold standard
823.8	strain	0.0014	TP	0.0014	0	Gold standard
841	genus	0.8063	TP	0.8063	0	Gold standard
84107	family	1.0762	TP	1.0762	0	Gold standard
84108	genus	0.0004	TP	0.0004	0	Gold standard
84109	species	0.0004	TP	0.0004	0	Gold standard
84109.1	strain	0.0004	TP	0.0004	0	Gold standard
84111	genus	0.0316	TP	0.0316	0	Gold standard
84642	family	0.0014	TP	0.0014	0	Gold standard
848	genus	0.0028	TP	0.0028	0	Gold standard
84998	class	1.1088	TP	1.1088	0	Gold standard
84999	order	1.0766	TP	1.0766	0	Gold standard
85004	order	0.3615	TP	0.3615	0	Gold standard
85009	order	0.001	TP	0.001	0	Gold standard
853	species	8.1876	TP	8.1876	0	Gold standard
853.1	strain	2.4264	TP	2.4264	0	Gold standard
853.2	strain	4.0994	TP	4.0994	0	Gold standard
853.4	strain	1.6618	TP	1.6618	0	Gold standard
872	genus	0.3699	TP	0.3699	0	Gold standard
88431	species	1.4088	TP	1.4088	0	Gold standard
88431.4	strain	1.4088	TP	1.4088	0	Gold standard
89153	species	1.3545	TP	1.3545	0	Gold standard
89153.1	strain	1.3545	TP	1.3545	0	Gold standard
90371.3	strain	0.24	TP	0.24	0	Gold standard
904	genus	0.0038	TP	0.0038	0	Gold standard
906	genus	0.001	TP	0.001	0	Gold standard
907	species	0.001	TP	0.001	0	Gold standard
907.1	strain	0.001	TP	0.001	0	Gold standard
909656	genus	0.059	TP	0.059	0	Gold standard
909929	order	0.0018	TP	0.0018	0	Gold standard
909930	family	4.0495	TP	4.0495	0	Gold standard
909932	class	4.2241	TP	4.2241	0	Gold standard
91061	class	7.2502	TP	7.2502	0	Gold standard
91347	order	1.251	TP	1.251	0	Gold standard
936595	species	0.001	TP	0.001	0	Gold standard
936595.1	strain	0.001	TP	0.001	0	Gold standard
9443	order	0.002	TP	0.002	0	Gold standard
946234	genus	0.0109	TP	0.0109	0	Gold standard
9604	family	0.002	TP	0.002	0	Gold standard
9605	genus	0.002	TP	0.002	0	Gold standard
9606	species	0.002	TP	0.002	0	Gold standard
9606.1	strain	0.002	TP	0.002	0	Gold standard
976	phylum	35.7137	TP	35.7137	0	Gold standard
990719	family	0.1732	TP	0.1732	0	Gold standard
990721	genus	0.1732	TP	0.1732	0	Gold standard
995019	family	0.3113	TP	0.3113	0	Gold standard
100886	species	2.7561	TP	2.7561	1	Gold standard
100886.1	strain	2.7561	TP	2.7561	1	Gold standard
1017280	genus	0.0008	TP	0.0008	1	Gold standard
102106	genus	0.3048	TP	0.3048	1	Gold standard
103621	species	0.0139	TP	0.0139	1	Gold standard
103621.1	strain	0.0139	TP	0.0139	1	Gold standard
1131492	family	1.3759	TP	1.3759	1	Gold standard
1150298	species	0.3443	TP	0.3443	1	Gold standard
1150298.2	strain	0.3443	TP	0.3443	1	Gold standard
1164882	genus	0.4542	TP	0.4542	1	Gold standard
1196081	species	0.2177	TP	0.2177	1	Gold standard
1196081.1	strain	0.2177	TP	0.2177	1	Gold standard
1224	phylum	2.1539	TP	2.1539	1	Gold standard
1232428	species	0.0004	TP	0.0004	1	Gold standard
1232428.1	strain	0.0004	TP	0.0004	1	Gold standard
1236	class	1.1552	TP	1.1552	1	Gold standard
1239	phylum	66.9508	TP	66.9508	1	Gold standard
1257	genus	0.0014	TP	0.0014	1	Gold standard
1261	species	0.0014	TP	0.0014	1	Gold standard
1261.5	strain	0.0014	TP	0.0014	1	Gold standard
1263	genus	9.9031	TP	9.9031	1	Gold standard
128827	family	0.2941	TP	0.2941	1	Gold standard
129132	species	0.1226	TP	0.1226	1	Gold standard
129132.1	strain	0.1226	TP	0.1226	1	Gold standard
1297617	species	0.0079	TP	0.0079	1	Gold standard
1297617.3	strain	0.0079	TP	0.0079	1	Gold standard
1300	family	0.5826	TP	0.5826	1	Gold standard
1301	genus	0.5826	TP	0.5826	1	Gold standard
1304	species	0.4411	TP	0.4411	1	Gold standard
1304.2	strain	0.4393	TP	0.4393	1	Gold standard
1304.7	strain	0.0018	TP	0.0018	1	Gold standard
1309	species	0.0157	TP	0.0157	1	Gold standard
1309.2	strain	0.0157	TP	0.0157	1	Gold standard
131567	cellular root	100.0	TP	100.0	1	Gold standard
1318	species	0.0024	TP	0.0024	1	Gold standard
1318.3	strain	0.0024	TP	0.0024	1	Gold standard
